patient,gene,expression
46,B,395.3936503204531
47,B,385.0402901329646
48,B,378.18574844340765
49,B,371.3803302353404
50,B,402.58071274624666
1,C,325.5538846775591
2,C,317.267282028804
3,C,320.65478160972634
4,C,329.5904799044
5,C,316.4304700021129
6,C,338.6612870898207
7,C,335.45358862561136
8,C,334.17643865959565
9,C,324.7794424006459
10,C,331.1629990909699
11,C,329.75000358344647
12,C,331.8999838708426
13,C,313.41132930127435
14,C,324.2469020509789
15,C,312.01078348528387
16,C,326.80349978929576
17,C,321.4364616432821
18,C,315.3759409759197
19,C,314.0312770445274
20,C,329.86597751021117
21,C,316.2283900711562
22,C,340.9014278709213
23,C,329.6506992682029
24,C,321.99264260828915
25,C,329.97293657144235
26,C,311.3956865826711
27,C,341.99488627299525
28,C,326.4213223880328
29,C,336.2454419310844
30,C,313.3552709974637
31,C,326.56372741840784
32,C,326.69611871539286
33,C,341.31692507768196
34,C,329.3455073126977
35,C,326.1331034145624
36,C,319.3801041831049
37,C,321.4923062131015
38,C,327.6759875608193
39,C,325.002404751975
40,C,311.3567150120868
41,C,337.6697459211555
42,C,339.9544572391604
43,C,315.23614521025456
44,C,328.7669818937269
45,C,314.200426735129
46,C,332.63225104240183
47,C,319.84634473153557
48,C,332.2131201544252
49,C,334.42272388718106
50,C,335.7847729857074
1,D,211.37030081102972
2,D,229.15226059302736
3,D,214.06470779968737
4,D,209.82307623587596
5,D,221.20675432661264
6,D,217.16029024497365
7,D,227.25537434891308
8,D,226.78153238541464
9,D,215.97705564209974
10,D,229.96378669153438
11,D,215.40019243908262
12,D,220.33125684309772
13,D,214.63123199248727
14,D,229.5929585410772
15,D,212.6213719868044
16,D,209.98803362663125
17,D,218.57213532006682
18,D,230.8322624092284
19,D,228.6168998576081
20,D,225.4693764280529
21,D,228.59743479932754
22,D,228.65582607335298
23,D,220.41488392850187
24,D,215.95043914027744
25,D,225.98427350644172
26,D,223.55654778969074
27,D,217.2204700352216
28,D,211.07826669735334
29,D,225.42937144967857
30,D,214.77413135030304
31,D,229.60988931174313
32,D,214.30135265012507
33,D,211.7006745130527
34,D,227.28447878674794
35,D,212.37225496573888
36,D,212.94390277947025
37,D,222.18642141345856
38,D,228.24036489842422
39,D,213.3215626457206
40,D,215.82712080380207
41,D,226.10290644130592
42,D,230.3801813733413
43,D,220.01630609645153
44,D,212.16574505612752
45,D,209.30659832958042
46,D,214.0524326599748
47,D,211.90008879130346
48,D,223.90849081948286
49,D,211.6803151018277
50,D,220.13925849565393
1,E,221.21549485345065
2,E,218.7602304200936
3,E,210.48513164102326
4,E,223.5995022181551
5,E,221.6743347126629
6,E,222.18595288496726
7,E,208.9939532087937
8,E,208.83545753921248
9,E,226.27810735684122
10,E,214.77744680600122
11,E,212.6805866116464
12,E,216.75227378412828
13,E,220.53415341696973
14,E,226.88702467791924
15,E,212.36588312334058
16,E,226.21834291607098
17,E,206.68945096308175
18,E,218.1977975184921
19,E,219.90725992347956
20,E,208.44797366139136
21,E,209.1953692562869
22,E,215.24478072916378
23,E,227.11723249350703
24,E,219.0841234051859
25,E,226.3966039087246
26,E,223.60463186880148
27,E,216.29218075374982
28,E,223.17936684877247
29,E,206.53705821230062
30,E,208.51842472981645
31,E,224.14860094295537
32,E,223.44093081665602
33,E,211.1983041006716
34,E,217.66770011599945
35,E,219.30054330919023
36,E,224.97993529693943
37,E,219.23742531425034
38,E,215.10280305323886
39,E,214.26979374193587
40,E,215.39164127430516
41,E,220.29690325508545
42,E,224.97454670902545
43,E,215.9995623410557
44,E,211.52811851604446
45,E,211.28557327704752
46,E,222.3385098812828
47,E,223.86954216629886
48,E,208.43453433283452
49,E,207.59432719592738
50,E,219.049210503515
1,F,413.82083217586677
2,F,442.92809377057705
3,F,420.86335751134277
4,F,413.722105924462
5,F,447.05963326971164
6,F,414.65131090534345
7,F,419.7644915322974
8,F,414.1400146537393
9,F,412.50452373124375
10,F,408.4572499008333
11,F,409.92646305314673
12,F,415.0421191031481
13,F,409.8400849097058
14,F,432.91006971116065
15,F,436.75265319969884
16,F,424.43674659809403
17,F,421.1918180592429
18,F,429.1941755682537
19,F,445.0877120218647
20,F,444.06354679067266
21,F,409.4150801603488
22,F,415.3362817716909
23,F,417.7063549703786
24,F,418.2487270032019
25,F,432.05588075976493
26,F,425.40765806266694
27,F,409.6630017448938
28,F,423.57804653991565
29,F,430.01900149998664
30,F,411.9117246345694
31,F,443.3053719575292
32,F,409.77916407135297
33,F,447.2257161808749
34,F,411.80195377377663
35,F,443.7393654235436
36,F,446.2738198744948
37,F,449.57358219716485
38,F,441.95691026373714
39,F,440.98958649909
40,F,435.112532540209
41,F,440.96894361140176
42,F,413.322289740924
43,F,430.54731874215366
44,F,429.61016113116875
45,F,444.3398449828577
46,F,427.40409278396186
47,F,424.0703393827052
48,F,434.98726433607203
49,F,418.9812763207863
50,F,413.5460648299248
1,G,42.90487227830211
2,G,42.642624284958
3,G,41.85005074427416
4,G,42.43030078349505
5,G,42.425487534252866
6,G,42.258230926973944
7,G,42.4816955428258
8,G,43.798696385460566
9,G,42.126568840656525
10,G,44.930089084875966
11,G,44.79029648401416
12,G,42.91791484169034
13,G,42.26195318152016
14,G,43.15236959626901
15,G,44.49881010172658
16,G,43.65612556440844
17,G,44.308884860172434
18,G,43.14070578708268
19,G,43.57154580585077
20,G,42.089069140984584
21,G,44.01004059793425
22,G,41.72033975044059
23,G,43.83763195391954
24,G,44.55109199380134
25,G,41.41804220039664
26,G,43.49183288433026
27,G,41.25891171738872
28,G,43.97057720156714
29,G,41.21332084094114
30,G,44.87454123761269
31,G,41.44085409916255
32,G,44.97318505740905
33,G,44.29380195716592
34,G,43.40283261920532
35,G,44.21528364990705
36,G,44.26899380762727
37,G,44.91791637011452
38,G,41.939548421508505
39,G,43.38732635004073
40,G,41.25871154952693
41,G,43.49951251010372
42,G,41.58655260759899
43,G,43.2792876293315
44,G,43.31145121034555
45,G,42.85373615781928
46,G,43.09731663470643
47,G,44.13487057702833
48,G,44.28675228100189
49,G,42.96625882697435
50,G,43.42825179854723
1,H,363.00702100201556
2,H,334.7667288798391
3,H,334.6752040933238
4,H,333.65227361449473
5,H,353.49364231941036
6,H,345.1675688675052
7,H,357.54638528173615
8,H,353.958853183139
9,H,342.2105939898227
10,H,361.86315584818146
11,H,357.1361187180587
12,H,340.01461594367413
13,H,343.27388221846746
14,H,341.54251131110834
15,H,336.08488537215
16,H,335.74286136446824
17,H,363.1772357254759
18,H,345.8390604945166
19,H,343.9395298326539
20,H,355.9930626619728
21,H,349.84415867080094
22,H,363.1776715419785
23,H,357.7544919880468
24,H,347.282060831534
25,H,343.69730967713275
26,H,364.9347777633664
27,H,355.5780562129268
28,H,363.7015741681337
29,H,334.72305448715304
30,H,360.1985720358392
31,H,352.77017116289403
32,H,334.8428744060619
33,H,351.07137839892886
34,H,354.47615350566963
35,H,331.0281334689234
36,H,346.4102650720928
37,H,359.32390298963196
38,H,340.87849408197434
39,H,346.55747324658955
40,H,345.99253162196266
41,H,341.1070732221987
42,H,362.56177796394127
43,H,357.78903243301676
44,H,334.44847670266466
45,H,365.29680609274754
46,H,361.19616084590956
47,H,340.48001363766855
48,H,359.72400097220066
49,H,334.3033997091241
50,H,365.3688446205035
1,I,102.67341583467602
2,I,102.51626265714386
3,I,96.86345134253975
4,I,105.01003732885592
5,I,96.24289498236514
6,I,98.38236338621559
7,I,97.39452093918301
8,I,103.7953562009914
9,I,97.95186269485026
10,I,105.14744609402194
11,I,102.57831729720765
12,I,96.31524337599643
13,I,96.00484132469987
14,I,96.47174496184543
15,I,102.06984429424205
16,I,104.04496628968009
17,I,98.35938348833662
18,I,104.52902931352304
19,I,96.52804259554793
20,I,104.03973492178093
21,I,105.32073384474003
22,I,103.74829483095425
23,I,103.00101991818424
24,I,104.41360020841937
25,I,96.35552812542537
26,I,97.98799931826245
27,I,97.21172916098699
28,I,101.04576300094917
29,I,103.47640009612132
30,I,102.31311963022162
31,I,104.54642410759554
32,I,97.51765122365502
33,I,103.36967302854514
34,I,97.89971905777593
35,I,98.68466338830979
36,I,103.12003744254118
37,I,105.85006832747669
38,I,102.1265904203684
39,I,96.50045318141208
40,I,102.17472059626809
41,I,96.37774057095969
42,I,104.87987168480485
43,I,103.11674067951627
44,I,97.69859124886729
45,I,96.8763821588244
46,I,97.80368561169122
47,I,105.84827451349734
48,I,100.58146248883075
49,I,103.86921757824823
50,I,102.37772425528854
1,J,47.3403418048056
2,J,45.332112196925735
3,J,49.09631493172304
4,J,41.45967933553726
5,J,47.36668091429545
6,J,47.93894693956861
7,J,47.70139582965295
8,J,49.07079372556893
9,J,45.34766325262427
10,J,56.447109444840756
11,J,46.5489616364816
12,J,46.878593028568304
13,J,45.2103223731294
14,J,45.280244666402
15,J,45.95695506517191
16,J,46.08211163767591
17,J,46.66114510430234
18,J,47.52164147107215
19,J,47.632756851865835
20,J,46.58551121395218
21,J,46.57128061431488
22,J,45.67285407547572
23,J,56.89804724102681
24,J,46.14009228319102
25,J,44.81948122110361
26,J,46.61648020753724
27,J,46.8784235729238
28,J,45.710286480559795
29,J,66.27677319994352
30,J,47.30912793203003
31,J,47.949410251218744
32,J,47.69535786634569
33,J,52.488078902213736
34,J,46.136206513573
35,J,38.680745154667186
36,J,47.23097860291849
37,J,46.67766551734548
38,J,47.59225866042297
39,J,46.3450894719162
40,J,47.059874449651765
41,J,48.112516735866436
42,J,48.81609356760143
43,J,48.9789688272874
44,J,47.017074748360564
45,J,47.095293039280676
46,J,48.40939093059003
47,J,46.12791825119775
48,J,63.161406233928375
49,J,56.36695888635827
50,J,45.19452660437576
1,K,251.74515556801842
2,K,271.9944214503379
3,K,251.31143621465088
4,K,257.23008077031517
5,K,258.6376200651907
6,K,254.3997539085389
7,K,258.1053956257923
8,K,269.38281450486977
9,K,250.23615878562987
10,K,271.60466106489406
11,K,272.37721302001086
12,K,259.64047937493774
13,K,253.8900192452947
14,K,265.65210272895564
15,K,252.99738821924672
16,K,259.44737919635804
17,K,275.0566874576956
18,K,276.0307156289497
19,K,270.1563586426256
20,K,258.0282877109162
21,K,267.93559079306823
22,K,268.4021874122295
23,K,260.05023658280396
24,K,266.705371089616
25,K,250.1321370628603
26,K,255.34821642123896
27,K,263.659822368039
28,K,254.1566593019932
29,K,254.21335062515283
30,K,271.8448028414713
31,K,275.8641979705788
32,K,264.4719959571482
33,K,271.9175339221891
34,K,275.89545977178096
35,K,253.5739718693588
36,K,261.63885962858944
37,K,260.1746624266425
38,K,251.95529615989466
39,K,269.71518354450177
40,K,261.2583884185842
41,K,262.1932983692075
42,K,253.81269921128822
43,K,254.60837095367182
44,K,273.70682526270843
45,K,251.02427104002354
46,K,255.97401509401948
47,K,257.5311603872721
48,K,262.7421953651617
49,K,265.27350805028914
50,K,262.8235263648725
1,L,466.7464167929202
2,L,474.51660501251325
3,L,503.7327543379358
4,L,493.700569713301
5,L,494.26355874153916
6,L,495.288898535611
7,L,499.80337702722505
8,L,465.4798830598345
9,L,480.5038283462182
10,L,488.92498609724373
11,L,479.13283073657976
12,L,503.776121129086
13,L,486.1512811682012
14,L,500.08216360667177
15,L,504.1431556721129
16,L,487.23334521740037
17,L,506.9451942765347
18,L,491.24293590415095
19,L,504.05835835320227
20,L,479.23677174530724
21,L,486.94238588048336
22,L,488.52971769692294
23,L,467.7625121641386
24,L,482.05950707636504
25,L,507.3243446532666
26,L,493.37153010576293
27,L,471.2945705646803
28,L,479.1522694541878
29,L,471.9810665705735
30,L,463.85888651859045
31,L,507.8173243291461
32,L,484.47769688610964
33,L,477.6269580268923
34,L,491.7958392288618
35,L,463.0062140214699
36,L,476.18967659145966
37,L,496.8877297795361
38,L,493.5145879484731
39,L,510.46394964532146
40,L,492.8614204603467
41,L,485.90453604567057
42,L,499.73176582706117
43,L,506.6420673646494
44,L,497.7478926051837
45,L,509.5583865868548
46,L,500.7336518149492
47,L,504.8632300433558
48,L,468.20686826664314
49,L,498.31853759579747
50,L,484.08231966698287
1,M,369.9542199287349
2,M,373.6709686689507
3,M,385.28919629476496
4,M,385.8324733966838
5,M,360.2067994339549
6,M,301.2817029645722
7,M,301.7595153568143
8,M,362.3509372963202
9,M,354.1584077150033
10,M,351.10684813851447
11,M,378.2062270930738
12,M,367.62095049886216
13,M,385.86787823741327
14,M,366.71102318792646
15,M,385.5873448299173
16,M,364.7459968807414
17,M,530.3305043968497
18,M,352.7213492210754
19,M,370.04099093306974
20,M,341.2042201449672
21,M,383.6290213536919
22,M,379.8710577347215
23,M,350.96052276100323
24,M,363.31544616008784
25,M,351.39210378114973
26,M,353.6215883130157
27,M,374.4512471349634
28,M,375.8479016242705
29,M,378.0729211252598
30,M,381.4488009684484
31,M,226.08664682396133
32,M,265.3504522126668
33,M,351.4018645214967
34,M,214.93853612174385
35,M,372.48583806020906
36,M,381.1790112101935
37,M,349.76560459777943
38,M,368.53835978988167
39,M,337.0717586669488
40,M,350.68954823993295
41,M,327.9328960661682
42,M,267.791554544444
43,M,374.3153513658956
44,M,358.34582777167
45,M,304.78587645636355
46,M,362.4075563814701
47,M,381.0030838981014
48,M,360.6011263611757
49,M,371.32378523249986
50,M,364.2073944931203
1,N,371.44335192869255
2,N,394.689187362531
3,N,368.12855991370066
4,N,364.222840466959
5,N,411.39254603120855
6,N,388.27028761037957
7,N,391.6824010270987
8,N,398.9522480625371
9,N,372.2617581664243
10,N,376.50179414298873
11,N,366.1992085651258
12,N,382.84513332567525
13,N,398.90804141599085
14,N,465.16017406150206
15,N,383.6180879357081
16,N,375.91002553102817
17,N,395.78135289085105
18,N,227.92969839177195
19,N,366.1059427058963
20,N,374.8843816015671
21,N,363.55233341621516
22,N,368.6752034321737
23,N,361.67141367799667
24,N,378.22463682700624
25,N,385.11253006816827
26,N,374.0451135703985
27,N,376.9745073172005
28,N,397.4499523680939
29,N,311.6596788958774
30,N,419.70780742429895
31,N,371.81255325424934
32,N,395.0858783533738
33,N,702.8740118387836
34,N,373.36302375963373
35,N,395.54446294807207
36,N,381.12259810083276
37,N,389.2080820778831
38,N,383.4483021782231
39,N,424.41375893659693
40,N,372.3765650775634
41,N,370.1721383418132
42,N,373.2547091924093
43,N,513.6694912092381
44,N,394.22394588105067
45,N,371.76338346350434
46,N,382.3365969877466
47,N,391.09502815537223
48,N,390.78531615627713
49,N,377.6586778261993
50,N,379.0977777262956
1,O,376.7597927867674
2,O,365.268049423547
3,O,370.29552010793196
4,O,373.45168749497043
5,O,369.3244751206333
6,O,347.69793848383307
7,O,361.23192934117884
8,O,344.70800024759217
9,O,364.48990434364754
10,O,375.3470444719424
11,O,359.457081108374
12,O,356.59371249395286
13,O,342.3367547759121
14,O,375.505905351619
15,O,344.7477963602727
16,O,342.524739449644
17,O,349.8837913530273
18,O,343.4025425776699
19,O,357.38873054258227
20,O,359.57755206513036
21,O,352.27126117012614
22,O,342.8794813244384
23,O,345.05645322014726
24,O,354.8537071698384
25,O,343.22297138467263
26,O,366.1150111493959
27,O,348.4820374407407
28,O,351.8943693193326
29,O,355.1991154006937
30,O,356.0062858271824
31,O,341.10961940552534
32,O,345.0733263188532
33,O,372.0232478382975
34,O,341.0942669441775
35,O,359.2932080736822
36,O,358.62312203360875
37,O,353.0080803802819
38,O,356.53464002325757
39,O,369.07286283720435
40,O,371.24921305311693
41,O,350.3965127086075
42,O,352.6274068307415
43,O,349.75513442371715
44,O,358.27709607978323
45,O,365.5789750399514
46,O,349.2442782291368
47,O,352.9234131397697
48,O,374.4508077714505
49,O,342.7936375055058
50,O,357.59162882810045
1,P,401.3142310347534
2,P,379.2628426542087
3,P,375.21179898621546
4,P,378.78147110539425
5,P,409.45975150575583
6,P,373.71390942557014
7,P,380.7510536100861
8,P,374.5794420570346
9,P,377.6977380751946
10,P,397.72186696449205
11,P,382.84640911344604
12,P,395.7200335819256
13,P,396.54467854270877
14,P,406.7328085904283
15,P,485.5972377638676
16,P,488.264903702586
17,P,397.6813800965801
18,P,379.74581900392485
19,P,403.72643935371667
20,P,406.97081759237
21,P,383.3425549115384
22,P,409.45859165947536
23,P,391.21017701073725
24,P,357.35812294976955
25,P,412.0467266711734
26,P,387.5583678905205
27,P,405.30716229073045
28,P,385.86308533065846
29,P,404.75909142409057
30,P,396.95884301130184
31,P,267.29694517565076
32,P,389.62122548591697
33,P,385.833080430488
34,P,376.4196598480583
35,P,374.52250646491814
36,P,386.9666111575022
37,P,224.45882520553633
38,P,379.85366887296374
39,P,401.84970450943916
40,P,481.413582674838
41,P,321.9009673502201
42,P,385.8141196254082
43,P,408.3277646647254
44,P,396.687540537518
45,P,378.3028352306424
46,P,378.9981433952025
47,P,400.5886502783373
48,P,380.14669670217364
49,P,235.97196190330456
50,P,412.3267369039983
1,Q,244.25299544164682
2,Q,244.57610090876722
3,Q,269.672273755614
4,Q,259.17521803724804
5,Q,247.41158637082577
6,Q,267.2106665336802
7,Q,266.7757737132817
8,Q,257.93035061696236
9,Q,260.13005516742146
10,Q,251.17091082157253
11,Q,245.44835619676053
12,Q,259.4303875484952
13,Q,251.725208465311
14,Q,261.20506089917103
15,Q,265.64150104485486
16,Q,244.61672597859916
17,Q,259.4598440094232
18,Q,250.0939098699521
19,Q,266.6089343961277
20,Q,250.66917781863899
21,Q,259.84679242415024
22,Q,258.375999590303
23,Q,254.3314790515227
24,Q,261.5648536245147
25,Q,262.8022796121866
26,Q,258.7203013397082
27,Q,263.6414514956482
28,Q,269.4238188530185
29,Q,254.9253003690507
30,Q,257.37478443345816
31,Q,244.47047586308918
32,Q,264.60793389717674
33,Q,257.51991272308203
34,Q,254.63460876026653
35,Q,246.56764945139747
36,Q,267.01417003705774
37,Q,254.3016860690423
38,Q,261.692347073977
39,Q,247.98891581866147
40,Q,268.8618254792045
41,Q,248.73595327882106
42,Q,249.2782292175169
43,Q,266.22585951633323
44,Q,267.60337652444764
45,Q,249.60218837334884
46,Q,256.2238828260931
47,Q,263.0008190472647
48,Q,266.7239993589376
49,Q,253.89165426245876
50,Q,257.4374008120303
1,R,65.5469850273263
2,R,65.47927025057788
3,R,65.81094483216694
4,R,64.44757643930576
5,R,61.46953661955056
6,R,66.58542906161945
7,R,66.33966425165458
8,R,65.90782358923732
9,R,61.43911985382867
10,R,62.108143149321144
11,R,65.55904233668898
12,R,60.94809660532446
13,R,67.0670376557266
14,R,63.213725954276356
15,R,65.40360021562127
16,R,66.48045496632348
17,R,63.32563128416053
18,R,62.84244792703786
19,R,64.69594322494878
20,R,64.51833199198752
21,R,63.4184958567987
22,R,64.65135843755334
23,R,66.78644076522556
24,R,63.79289764241022
25,R,62.05914995680404
26,R,63.214118290451225
27,R,63.32228468859596
28,R,61.63909563536781
29,R,61.84237760354915
30,R,65.18119726971953
31,R,62.97265762693698
32,R,66.91134970787716
33,R,62.359019170295085
34,R,61.43311683267086
35,R,65.62242920320165
36,R,66.43863073227436
37,R,62.57992548397752
38,R,62.09336385053106
39,R,61.98890326317496
40,R,64.14087872874568
41,R,63.797866503979336
42,R,62.46041497506902
43,R,61.08910794873233
44,R,63.881544578088196
45,R,66.93972702486789
46,R,64.97612288481704
47,R,63.97124196242316
48,R,61.508429273789545
49,R,62.41559225951736
50,R,62.68655327727707
1,S,431.12174920950383
2,S,435.821853485114
3,S,436.86895784979043
4,S,440.3518815465317
5,S,440.25940069039035
6,S,439.0259635762552
7,S,402.01652990112115
8,S,404.7873285089678
9,S,411.78759411199337
10,S,422.22172667070737
11,S,403.0730713256301
12,S,434.52347222769
13,S,424.90375952124697
14,S,421.7793048966926
15,S,405.9430755814262
16,S,409.63672992480826
17,S,405.73310504925485
18,S,434.78119262738153
19,S,423.53757012257114
20,S,429.8754359558246
21,S,411.43338024222106
22,S,414.59261075770763
23,S,416.0039085059144
24,S,430.92062881324944
25,S,431.4388254823319
26,S,407.6861681555893
27,S,438.54463198300016
28,S,404.0675241726348
29,S,436.6371274617925
30,S,403.216617117292
31,S,410.1106720683551
32,S,434.5520985148542
33,S,406.53866703853566
34,S,416.3698531150187
35,S,417.8940905976533
36,S,409.3008768669748
37,S,428.83029845611145
38,S,434.75605527489256
39,S,435.732155873934
40,S,413.25153012093557
41,S,421.2957165600882
42,S,409.43306896235737
43,S,409.2814530651061
44,S,405.7726706397808
45,S,438.4807984539156
46,S,436.2955308014344
47,S,431.64906595976305
48,S,420.7417838940846
49,S,419.6055324514986
50,S,421.2493179796649
1,T,225.8227803054845
2,T,223.52766940569802
3,T,216.71448374007153
4,T,216.57743668954205
5,T,235.17561860652788
6,T,224.5956920906929
7,T,235.19712431036675
8,T,217.43047974847747
9,T,226.2243724208985
10,T,218.42363820040964
11,T,219.44665363784853
12,T,214.4262280221265
13,T,216.42644949165475
14,T,234.37908917165691
15,T,220.98449230835246
16,T,227.4329072680783
17,T,224.21281796975865
18,T,222.76015301801877
19,T,225.71743705528652
20,T,217.9628762538452
21,T,235.99358771669048
22,T,232.1619270458369
23,T,230.4363292364591
24,T,224.29708418281393
25,T,217.18973524784255
26,T,234.46498181115527
27,T,221.43120901608887
28,T,214.87740051818102
29,T,221.45408272823914
30,T,231.6252831861574
31,T,227.76094676223468
32,T,230.64386815675934
33,T,231.60679613690348
34,T,218.5189787493122
35,T,234.53512461209655
36,T,223.6047660657084
37,T,228.1278071084437
38,T,213.8019473832017
39,T,236.1007912142515
40,T,220.0701686841935
41,T,215.1464198971535
42,T,224.06089593457156
43,T,216.65317628659594
44,T,217.17735097854546
45,T,227.97636329317973
46,T,222.59086631033026
47,T,234.4916801284874
48,T,220.93102112868158
49,T,230.08905288863778
50,T,224.12473717848542
